Time,HR
13:40:34,70
13:40:44,140
14:18:29,70
14:19:15,70
14:20:58,70
14:21:17,70
14:21:27,121
14:21:32,104
14:21:37,103
14:21:42,105
14:21:47,105
14:22:02,103
14:22:07,102
14:22:12,100
14:22:17,99
14:22:22,99
14:22:27,100
14:22:32,97
14:22:37,93
14:22:52,93
14:23:07,93
14:23:22,93
14:23:37,93
14:23:43,93
14:23:58,93
14:24:13,93
14:24:28,93
14:24:43,93
14:24:58,93
14:25:13,93
14:25:28,93
14:25:43,93
14:25:58,93
14:26:13,93
14:26:29,93
14:26:44,93
14:26:59,93
14:27:14,93
14:27:29,93
14:27:44,93
14:27:59,93
14:28:14,93
14:28:29,93
14:28:44,93
14:28:59,93
14:29:14,93
14:29:29,93
14:29:44,93
14:29:59,93
14:30:14,93
14:30:29,93
14:30:44,93
14:30:59,93
14:31:14,93
14:31:29,93
14:31:44,93
14:31:59,93
14:32:14,93
14:32:29,93
14:32:44,93
14:32:59,93
14:33:02,93
14:33:17,93
14:33:32,93
14:33:47,93
14:34:02,93
14:34:17,93
14:34:32,93
14:34:47,93
14:35:02,93
14:35:17,93
14:35:32,93
14:35:47,93
14:36:02,93
14:36:17,93
14:36:32,93
14:36:47,93
14:37:02,93
14:37:17,93
14:37:30,93
14:37:45,93
14:38:00,93
14:38:05,92
14:38:20,92
14:38:35,92
14:38:45,93
14:38:50,94
14:38:55,95
14:39:00,97
14:39:05,98
14:39:10,99
14:39:15,100
14:39:20,101
14:39:25,102
14:39:30,104
14:39:35,105
14:39:45,106
14:40:00,106
14:40:05,107
14:40:10,108
14:40:15,109
14:40:20,118
14:40:25,115
14:40:30,118
14:40:37,126
14:40:42,133
14:40:47,137
14:40:52,142
14:40:57,150
14:41:02,156
14:41:07,157
14:41:17,162
14:41:22,160
14:41:27,157
14:41:32,155
14:41:37,152
14:41:47,149
14:41:52,147
14:41:57,146
14:42:02,143
14:42:12,140
14:42:17,136
14:42:35,70
14:43:59,70
14:44:27,70
14:44:38,69
14:45:20,70
14:47:38,70
14:47:48,70
14:48:19,70
14:48:31,70
14:48:36,65
14:49:07,70
14:49:17,61
14:49:22,63
14:49:27,66
14:49:32,67
14:50:18,70
14:50:53,70
14:52:37,70
14:52:42,70
14:56:41,70
14:56:46,70
14:56:55,70
14:57:10,70
14:57:15,98
14:57:20,102
14:57:25,98
14:57:30,93
14:57:35,94
14:57:40,97
14:57:45,96
14:57:50,97
14:58:00,96
14:58:05,95
14:58:15,96
14:58:25,95
14:58:30,94
14:58:35,92
14:58:45,93
14:58:50,92
14:58:55,93
14:59:10,93
14:59:15,93
14:59:20,93
14:59:30,92
14:59:35,90
14:59:41,90
14:59:51,90
15:00:06,90
15:00:21,90
15:00:36,92
15:00:41,91
15:00:46,89
15:00:51,73
15:00:56,75
15:01:06,76
15:01:11,78
15:01:16,89
15:01:26,88
15:01:31,87
15:01:41,85
15:01:56,85
15:02:01,86
15:02:06,73
15:02:21,74
15:02:26,72
15:02:31,71
15:02:36,71
15:02:46,70
15:02:53,85
15:02:58,86
15:03:08,92
15:03:13,94
15:03:18,93
15:03:23,96
15:03:28,93
15:03:43,93
15:03:48,94
15:03:58,86
15:04:08,92
15:04:23,92
15:04:38,92
15:04:53,92
15:04:58,94
15:05:03,91
15:05:13,95
15:05:18,95
15:05:33,95
15:05:43,103
15:05:48,110
15:05:53,103
15:05:58,94
15:06:03,94
15:06:08,93
15:06:15,92
15:06:25,90
15:06:30,85
15:06:35,84
15:06:40,85
15:06:45,84
15:07:00,84
15:07:10,86
15:07:15,88
15:07:30,87
15:07:35,88
15:07:40,86
15:07:45,98
15:07:50,99
15:07:55,98
15:08:05,96
15:08:15,96
15:08:30,96
15:08:45,96
15:08:50,95
15:08:55,93
15:09:10,93
15:09:25,92
15:09:30,91
15:09:35,93
15:09:50,94
15:09:52,94
15:09:57,96
15:10:02,95
15:10:07,96
15:10:22,96
15:10:32,95
15:10:47,96
15:10:52,99
15:10:57,101
15:11:12,101
15:11:17,100
15:11:22,99
15:11:27,98
15:11:32,99
15:11:37,100
15:11:52,101
15:12:07,101
15:12:12,101
15:12:17,100
15:12:22,101
15:12:27,100
15:12:32,101
15:12:37,103
15:12:42,105
15:12:47,104
15:12:57,106
15:13:02,103
15:13:09,85
15:13:14,85
15:13:24,84
15:13:29,87
15:13:34,89
15:13:39,91
15:13:44,88
15:13:49,87
15:13:54,90
15:13:59,93
15:14:04,95
15:14:09,96
15:14:14,97
15:14:19,96
15:14:24,95
15:14:29,94
15:14:34,82
15:14:39,82
15:14:54,82
15:15:09,82
15:15:14,83
15:15:19,84
15:15:34,80
15:15:39,79
15:15:44,80
15:15:50,90
15:15:55,90
15:16:00,91
15:16:05,90
15:16:20,88
15:16:30,86
15:16:40,84
15:16:45,82
15:17:00,83
15:17:10,84
15:17:15,85
15:17:20,87
15:17:25,93
15:17:30,96
15:17:35,92
15:17:40,83
15:17:50,82
15:17:55,81
15:18:00,80
15:18:15,83
15:18:20,85
15:18:25,86
15:18:30,88
15:18:35,89
15:18:40,88
15:18:45,81
15:18:52,82
15:18:57,83
15:19:12,82
15:19:22,81
15:19:32,81
15:19:47,81
15:19:52,80
15:20:02,79
15:20:07,78
15:20:12,79
15:20:22,80
15:20:32,79
15:20:37,81
15:20:52,79
15:21:02,77
15:21:07,78
15:21:12,80
15:21:17,82
15:21:22,83
15:21:27,81
15:21:32,79
15:21:37,81
15:21:42,82
15:21:52,82
15:22:07,82
15:22:12,82
15:22:17,84
15:22:24,85
15:22:29,82
15:22:34,81
15:22:44,80
15:22:49,81
15:22:59,83
15:23:09,82
15:23:14,81
15:23:19,80
15:23:24,81
15:23:29,82
15:23:34,84
15:23:39,92
15:23:44,93
15:23:54,92
15:24:09,92
15:24:14,91
15:24:29,91
15:24:39,90
15:24:44,86
15:24:54,85
